Name,Email,Phone,Website
The Cliffs At Peace Canyon,cliffs@dmresorts.com,(702) 248-3570,https://www.vacationvillageresorts.com/cliffs_peace_canyon/
Getfit2dayy,j@apollofitness.com,(702) 852-4769,http://apollofitness.com/
INFRASLIMX PILATES AND WELLNESS STUDIO,infraslimxlasvegas@gmail.com,(702) 994-5287,https://www.infraslimxlasvegas.com/
THE RIDE,info@theridecycling.com,(702) 202-1229,http://theridecycling.com/
Burn Boot Camp,lasvegasnv@burnbootcamp.com,(702) 541-2873,https://burnbootcamp.com/locations/las-vegas-nv/?utm_source=gmb&utm_medium=listings
Kaizen Crossfit,kaizenperformancetraining@gmail.com,(702) 982-3333,http://kaizenperformancetraininglv.com/
Pacific Fitness Equipment,info@pacfitlv.com,(702) 227-4535,http://www.pacificfitnesslv.com/
Body & Brain Yoga Tai Chi,flamingo@bodynbrain.com,(702) 365-9642,http://www.bodynbrain.com/flamingo/
Ninja Lair,ninja@ninjalairlv.com,(725) 204-8845,https://www.ninjalairlv.com/
Jonathan Vose Personal Training,ironmanjv@mac.com,(702) 612-8787,http://jonathanvose.com/
DLX Boxing,fight@dlxboxing.com,(725) 225-2710,http://www.dlxboxing.com/
Fight Flow Fitness,micah@micahrich.com,(702) 530-6492,https://www.fightflowfitness.com/
Orangetheory Fitness,studiomanager0076@orangetheoryfitness.com,(702) 577-2884,https://www.orangetheory.com/en-us/locations/nevada/las-vegas/9326-w-sahara-ste-4/?utm_medium=seo&utm_source=gg&utm_term=tombras&utm_campaign=reputationdotcom--National
F45 Training Summerlin,"summerlin@f45training.com,summerlin.admin@f45training.com",(702) 710-4899,https://f45training.com/summerlin/home?y_source=1_NjA5NDY1MjYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
HauteBox Yoga,hello@hauteboxyoga.com,(702) 483-5257,https://hauteboxyoga.com/
Your Vegas Trainer,hello@yourvegastrainer.com,(702) 758-5868,https://yourvegastrainer.com/
Desert Gymcats Gymnastics,desertgymcatsgymnastics@gmail.com,(702) 798-3547,http://desertgymcats.net/
Red Rock Climbing Center,sales@redrockclimbingcenter.com,(702) 254-5604,http://www.redrockclimbingcenter.com/
Gracie Nevada Jiu Jitsu & Self Defense,gracienevada@yahoo.com,(702) 613-8536,https://gracienvjiujitsu.com/
Las Vegas In Home Personal Trainer,knisell@aol.com,(310) 721-4055,http://lasvegasinhomepersonaltrainer.com/
24 Hour Fitness,"cpo@24hourfit.com,cpm@24hourfit.com,ccpadr@24hourfit.com",(702) 360-2408,https://www.24hourfitness.com/gyms/las-vegas-nv/summerlin-super-sport?Adb_id=GGL_LOC_ACQ_CDP
YogaSix Centennial Hills,centennialhills@yogasix.com,(702) 843-0572,http://www.yogasix.com/centennial-hills
"City of Las Vegas Centennial Hills Community Center, Operated by the YMCA","esowers@lasvegasymca.org,mbrown@lasvegasymca.org,jpoole@lasvegasymca.org,ktye@lasvegasymca.org,lacosta@lasvegasymca.org,stracy@lasvegasymca.org,asaiz@lasvegasymca.org,amorales@lasvegasymca.org,cturner@lasvegasymca.org",(702) 478-9622,https://www.lasvegasymca.org/centennial-hills-ymca/
Camp Rhino Northwest - Camp Rhino CrossFit,admin@camprhino.com,(702) 996-8617,http://www.camprhino.com/
Orangetheory Fitness,studiomanager0440@orangetheoryfitness.com,(702) 948-9029,https://www.orangetheory.com/en-us/locations/nevada/las-vegas/8431-w-farm-rd-suite-160/?utm_medium=seo&utm_source=gg&utm_term=tombras&utm_campaign=reputationdotcom--National
Odin’s Halls Brazilian Jiu Jitsu and Fitness,odinshallsbjj@gmail.com,(702) 802-8799,http://www.bjjvegas.com/
Burn Boot Camp,centennialnv@burnbootcamp.com,(702) 204-3083,https://burnbootcamp.com/locations/centennial-nv/?utm_source=gmb&utm_medium=listings
Victory Martial Arts - Sky Pointe,skypointe@victoryma.com,(702) 433-5425,https://www.victoryma.com/school/sky-pointe-nevada/
Chapman Tactical Defense,chaptacdef@gmail.com,(702) 283-8228,https://www.chapmantacticaldefense.com/
Valkyrie Judo Academy,valkyriejudoacademy@gmail.com,(725) 305-1373,https://www.valkyriejudoacademy.com/
Dance Connection,info@danceconnectionstudio.com,(702) 515-1624,http://www.danceconnectionstudio.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=10952997434475880728
B Fitness Gym,info@bfitness702.com,(702) 277-3955,http://www.bfitness702.com/
EōS Fitness,"gmnvld2@eosfitness.com,fmnvld2@eosfitness.com,onlinesalesnvld2@eosfitness.com",(725) 228-8850,https://www.eosfitness.com/gym/las-vegas-north-durango-215?utm_source=local&utm_medium=organic&utm_campaign=evergreen_gmb
Club Pilates,centennialhills@clubpilates.com,(702) 847-7585,https://www.clubpilates.com/centennialhills/?utm_source=google.com&utm_medium=referral&utm_campaign=yext
Fortified Fitness Training,info@fortifiedfitnesstraining.com,(702) 790-4966,https://fortifiedfitnesstraining.com/
UFC FIT Centennial,christopher.ortega@ufcgym.com,(725) 228-7165,https://www.ufcgym.com/locations/las-vegas-centennial
Body & Brain Yoga Tai Chi,montecito@bodynbrain.com,(702) 453-9642,http://www.bodynbrain.com/Montecito/
Stretch Zone,"centennial@stretchzone.com,info@stretchzone.com",(702) 268-7932,https://www.stretchzone.com/locations/centennial/
Core Pilates Centennial Hills,info@mycorestudios.com,(702) 798-8000,http://www.mycorestudios.com/?utm_source=Google&utm_medium=Organic&utm_campaign=Google_Business_Profile_Centennial_Hills
Vertica Fitness Las Vegas - Centennial Hills,centennialhillslv@verticafitness.com,(702) 673-1969,https://www.verticafitness.com/centennialhillslv
CrossFit Las Vegas,"cflv.vegas@gmail.com,mymail@mailservice.com",(702) 489-9800,http://crossfitrawappeal.com/
Self Defense Grid,jaredw@selfdefensegrid.com,(702) 802-1402,http://www.selfdefensegrid.com/
Crown Energy Studios,isabellemariepilates@gmail.com,(702) 706-1812,https://pilatesclasseslv.com/
Kintsugi Yoga - Inspire,contact@kintsugilv.com,(702) 902-7967,https://www.kintsugilv.com/
The Exercise Coach Summerlin North,summerlinnorth.nv@exercisecoach-usa.com,(702) 854-1313,https://exercisecoach.com/summerlin-north
Summerlin Fitness 4 Women,summerlinfitness4women@gmail.com,(702) 501-0931,https://summerlinfitness4women.com/
Casey John Fry - Movement & Mindset Coach,casey@caseyjohnfry.com,(702) 234-4115,http://www.caseyjohnfry.com/
Club Pilates,summerlin@clubpilates.com,(702) 979-3422,https://www.clubpilates.com/summerlin/?utm_source=google.com&utm_medium=referral&utm_campaign=yext
Fit Club Vegas-NW,gavin@fitclubvegas.com,(725) 204-6630,https://www.fitclubvegas.com/
Pure Barre,lasvegas@purebarre.com,(702) 525-3454,https://www.purebarre.com/location/las-vegas-nv
The Lift Factory,"hi@mystore.com,heliftfactory@gmail.com",(702) 829-1012,https://www.theliftfactory.com/
Alloy Personal Training Sun City Summerlin,info.summerlin@alloypersonaltraining.com,(702) 710-0975,https://alloypersonaltraining.com/location/summerlin-nv/
Forget The Gym Personal Training: In Home & Online Training,dave@forgetthegym.com,(702) 706-4384,http://www.forgetthegym.com/
Atria Seville,accessibility@atriaseniorliving.com,(702) 804-6800,https://atriaseniorliving.com/retirement-communities/atria-seville-las-vegas-nv/?utm_source=GMB&utm_medium=Chatmeter
Commonwealth Pilates Summerlin,"info@commonwealthpilates.com,u00a0info@commonwealthpilates.com",(725) 205-4056,https://www.commonwealthpilates.com/
LightFit,hello@lightfit.life,(702) 529-0699,https://www.lightfit.life/
Stretch Zone,"trailsvillage@stretchzone.com,info@stretchzone.com",(702) 462-5811,https://www.stretchzone.com/locations/trails-village/
Soulfire Dance Studio,info@soulfirestudios.com,(702) 207-7685,http://soulfirestudios.com/
Lagreemixx,info@lagreemixx.com,(702) 377-5718,https://lagreemixx.com/
StretchLab,summerlin@stretchlab.com,(702) 758-8810,https://www.stretchlab.com/location/summerlin
Get Results Personal Training & Online,"consultation.702.673.8899nasmtrainershawn@me.comyelp,nasmtrainershawn@me.com,info@trainerize.com",(702) 673-8899,http://trainerize.me/profile/getresultspersonaltrainingllc/Shawn.Cunningham
The Bend & Stretch,"info@thebendandstretch.com,scott@thebendandstretch.com",(702) 429-8116,http://thebendandstretch.com/
Flip For Me Gymnastics,info@flip4m.com,(702) 202-0020,http://www.flip4m.com/
Jiu-Jitsu Methods,jiujitsumethods@gmail.com,(702) 844-9352,http://jiujitsumethods.com/
Wellness Coach,support@wellnesscoach.live,(786) 584-6182,https://www.wellnesscoach.live/
PJ’s FitClub Las Vegas,pj.st.training@gmail.com,(404) 259-7583,https://www.pjst.training/
TruFusion Blue Diamond,studio101@trufusion.com,(702) 522-8911,http://www.trufusion.com/blue-diamond
Stance Pilates,info@stancepilates.com,(702) 608-2065,https://stancepilates.com/
The Pilates Firm Las Vegas,info@thepilatesfirmlasvegas.com,(702) 499-7550,http://www.thepilatesfirmlasvegas.com/
The Good Place Athletic Reformer Pilates Studio,hello@thegoodplacelv.com,(702) 701-1155,https://thegoodplacelv.com/
SPORTS FITNESS CONNECTION,terry@sportsfitnessconnection.com,(520) 834-6248,http://sportsfitnessconnection.com/
AGC LAS VEGAS,agclvreception@gmail.com,(702) 462-2080,http://agclasvegas.com/
Wand Fight Team Mixed Martial Arts,manager@milestonemartialarts.com,(702) 538-8300,http://www.milestonemartialarts.com/
P.Y.T. Fitness L.L.C.,jah@pytcompany.com,(702) 500-7278,http://pytfitnessllc.com/
EVOLVE Kickbox & Fitness,kickbox@evolve.vegas,(702) 850-2849,https://evolve.vegas/
Pilates 4 Life,info@pilates4life.com,(702) 963-8517,http://www.pilates4life.com/
Yak's Fitness,info@yaksfitness.net,(702) 445-7376,https://yaksfitness.net/las-vegas-strip-gym/
FIT4MOM Las Vegas,lasvegas@fit4mom.com,(725) 300-6969,http://lasvegas.fit4mom.com/
TruFusion Eastern,studio100@trufusion.com,(702) 982-2930,http://www.trufusion.com/eastern
Rumble Boxing,henderson@rumbleboxinggym.com,(702) 330-0202,https://www.rumbleboxinggym.com/location/henderson?utm_source=google&utm_medium=referral&utm_campaign=yext&utm_term=organic
BFT Blue Diamond,bluediamond@bodyfittraining.com,(702) 420-2381,http://www.bodyfittraining.com/location/blue-diamond
Pilates By Dolly,"dkmethodcert@gmail.com,dkbodybalance@gmail.com,dolly.kelepecz@unlv.edu",(702) 341-7625,https://www.dkbodybalancing.com/
Atlas Grappling,info@atlasgrappling.com,(702) 305-7793,http://atlasgrappling.com/
Envision Dance and Gymnastics,envisiondanceandgymnastics@gmail.com,(702) 451-3939,http://envisiondanceandgymnastics.com/
Results Martial Arts,wmccoig@gmail.com,(702) 830-7393,http://www.martialartslv.net/
Las Vegas Capoeira Academy,046c982186afa15dc9513490293d26b1@o37417.ingest.sentry.io,(845) 464-2332,http://www.lvcapoeira.com/
Distant Fitness,info@distantfitnesslv.com,(702) 994-5222,https://www.distantfitnesslv.com/
Studio Remixx Las Vegas,info@remixxlv.com,(702) 377-5718,http://www.remixxlv.com/
Dragon’s Lair Gym,info@thedragonslairgym.com,(702) 462-6545,https://www.thedragonslairgym.com/
Vibe 28,hello@vibe28.com,(702) 272-0142,http://www.vibe28.com/
Motum Athletics & Fitness,info@motumathletics.com,(702) 778-3666,http://motumathletics.com/
Orangetheory Fitness,studiomanager0142@orangetheoryfitness.com,(702) 834-8300,https://www.orangetheory.com/en-us/locations/nevada/henderson/10271-eastern-ave-103-105/?utm_medium=seo&utm_source=gg&utm_term=tombras&utm_campaign=reputationdotcom--National
Club Pilates,henderson@clubpilates.com,(702) 907-2758,https://www.clubpilates.com/henderson/?utm_source=google.com&utm_medium=referral&utm_campaign=yext
Cult Fitness,info@cultfitness.com,(702) 522-7611,https://www.cultfitness.com/
Aguirre Fitness,"aguireefitness@gmail.com,aguirrefitness@gmail.com",(702) 745-3143,http://www.aguirrefitness.com/
barre3,onlinesupport@barre3.com,(702) 754-0290,http://barre3.com/studio-locations/henderson
Intentional Movement LLC,info@intentionalmovement.life,(702) 465-3926,https://intentionalmovement.life/
Burn Boot Camp,hendersonwestnv@burnbootcamp.com,(702) 912-9498,https://burnbootcamp.com/locations/henderson-west-nv/?utm_source=gmb&utm_medium=listings
Sin City Iron,sincityirongym@gmail.com,(702) 405-0980,http://sincityiron.com/
Tony Cress Training Center,tony@tonycress.com,(725) 215-0132,http://www.tonycress.com/
PROTOGYM,info@protogym.com,(702) 490-9348,http://www.protogym.com/
Paradigm Collective LV,yourparadigmcollective@gmail.com,(725) 250-3806,http://paradigmlv.com/
Pure Barre,henderson@purebarre.com,(702) 558-4149,https://www.purebarre.com/location/henderson-nv
Strength Center,"info@strengthcenterlv.com,carrie@strengthcenterlv.com",(702) 551-2305,http://strengthcenterlv.com/
REFINED PERSONAL TRAINING,info@refinedpersonaltraining.com,(702) 544-2945,http://www.refinedpersonaltraining.com/
Life Time,"greenvalley@ltfinc.onmicrosoft.com,agruin@lifetimefitness.com,hjohnson2@lifetimefitness.com",(702) 802-7300,https://www.lifetime.life/locations/nv/henderson-green-valley.html?utm_source=google&utm_medium=local&utm_campaign=google-local-club
Agape Health & Fitness,info@agapehealth.net,(702) 410-5354,http://www.agapehealthlv.com/
Functional Diagnostic Nutrition,fdninfo@afdnp.com,(858) 842-3266,https://www.functionaldiagnosticnutrition.com/
Passion Tennis,tennispromatt@yahoo.com,(702) 232-4632,https://www.passiontennis.vegas/
Vitality Fitness Personal Training,tristen@vitalityfitness.fit,(949) 943-2544,https://www.vitalityfitness.fit/
Alloy Personal Training - Mtns Edge,info.enterprise@alloypersonaltraining.com,(702) 500-0362,https://alloypersonaltraining.com/location/enterprise-nv/
StretchLab,sohivegas@stretchlab.com,(725) 219-0326,https://www.stretchlab.com/location/sohivegas
Scaled Fitness - Dr Watson,scaledfitness@gmail.com,(702) 332-3355,https://scaledfitness.com/
Self Made Training Facility Las Vegas | Personal Fitness Center,"corporate@selfmadetrainingfacility.com,las-vegas@selfmadetrainingfacility.com",(951) 899-0027,http://las-vegas.selfmadetrainingfacility.com/
"Solidity Studio, Chiropractic + Pilates","info@solidity-studio.com,referrals@solidity-studio.com,billing@solidity-studio.com",(702) 874-8311,http://www.solidity-studio.com/
YogaSix Henderson,henderson@yogasix.com,(702) 534-2805,http://www.yogasix.com/Henderson
Raiderettes The Studio,raiderettesthestudio@raiders.com,(725) 780-3290,https://www.raiderettesthestudio.com/
St. Rose Square Shopping Center,contact@strosesquare.com,(702) 304-8383,https://strosesquare.com/
Freedom Wrestling Club,info@freedomwrestling.club,(702) 789-9892,https://freedomwrestling.club/
Cactus Valley Retirement Resort,"cactusvalleyinfo@rlcommunities.com,talentacquisition@rlcommunities.com,investorrelations@rlcommunities.com,residentrelations@rlcommunities.com,humanresources@rlcommunities.com,smueller@rlcommunities.com,marketingsupport@rlcommunities.com",(702) 381-5092,https://rlcommunities.com/communities/nevada/cactus-valley-retirement/
Las Vegas Golf Schools,jeffgolfschools@msn.com,(800) 965-9985,http://jeffsymmondsgolfschools.com/las-vegas/
Glitch Fitness,info@glitchfitness.com,(702) 981-8737,http://www.glitchfitness.com/
A Balanced You Wellness Center,"impallari@gmail.com,mail@iginomarini.com,team@latofonts.com",,http://abalancedyoulv.com/
Peak Performance Partners,info@3-peak.com,(833) 726-9675,https://www.3-peak.com/?utm_source=Google&utm_medium=Google+Business+Profile&utm_campaign=Business+Consultant&utm_id=Peak+Performance+Partners
TruFusion HQ,"studio100@trufusion.com,studio101@trufusion.com,studio102@trufusion.com,weho@trufusion.com,studio113@trufusion.com,dubai@trufusion.com,studio104@trufusion.com,studio123@trufusion.com,walnutcreek@trufusion.com",(702) 329-1001,http://www.trufusion.com/
Vertica Fitness - Henderson,hendersonlv@verticafitness.com,(702) 425-1841,https://verticafitness.com/hendersonlv
Club Pilates,greenvalley@clubpilates.com,(702) 852-2600,https://www.clubpilates.com/greenvalley/?utm_source=google.com&utm_medium=referral&utm_campaign=yext
F45 Training Henderson,"henderson@f45training.com,henderson.admin@f45training.com",(725) 234-6137,https://f45training.com/henderson/home?y_source=1_NjExMTk3OTktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Row House Fitness Henderson,henderson@therowhouse.com,(702) 444-2684,https://www.therowhouse.com/location/henderson
Deep End Fitness,don@utlnation.com,(909) 398-0213,https://www.deependfitness.com/las-vegas
Boot Camp Las Vegas,"chenowith52@gmail.com,test@gmail.com",(702) 767-8797,http://www.bootcamplasvegas.com/
Optima Wellness Center,"denise.optimawellness@gmail.com,optimawellnesscenter@gmail.com",(702) 339-6715,https://optimawellnesscenter.com/
Swimming In The Sun,kristin@swimminginthesun.com,(702) 659-1516,http://www.swimminginthesun.com/
Results Martial Arts Henderson,resultsmahenderson@gmail.com,(702) 906-7753,https://martialartslv.net/martial-arts-classes/Nevada/Henderson/7260
The Dojang,info@thedojang.com,(702) 933-0200,http://www.thedojang.com/
Lean Dog Fitness,info@leandogfitness.com,(702) 297-6440,http://leandogfitness.com/
Artist Boxing Gym & Fitness,info@artistboxinggym.com,(702) 498-9154,https://www.artistboxinggym.com/
IM=X Pilates and Fitness,"henderson@imxpilates.com,info@imxpilates.com",(702) 550-0026,https://www.imxpilates.com/nevada/henderson/
Body & Brain Yoga Tai Chi,henderson@bodynbrain.com,(702) 432-0008,http://www.bodynbrain.com/Henderson
The Wiser Yogi,thewiseryogi@gmail.com,(702) 501-0431,https://thewiseryogi.com/
Vibe Yoga,namaste@vibeyogalv.com,(702) 483-5059,http://www.vibeyogalv.com/
Undefeated.life,dannyvathletix@gmail.com,(702) 782-1804,https://undefeated.life/
Makiba Dojo,steve@lasvegasiaido.com,(725) 772-1252,http://lasvegasiaido.com/
Unlimited Jiu Jitsu,info@unlimitedjj.com,(702) 329-5123,https://www.unlimitedjj.com/
Hawthorn Suites By Wyndham Las Vegas/Henderson,accessibility@wyndham.com,(702) 568-7800,https://www.wyndhamhotels.com/hawthorn-extended-stay/henderson-nevada/hawthorn-suites-by-wyndham-las-vegas-henderson/overview?CID=LC:b84ll71au8zr1jm:30821&iata=00093796
CrossFit Veni Vidi Vici,info@crossfitvenividivici.com,(725) 309-1944,http://www.crossfitvenividivici.com/
Core Fitness & Martial Arts,info@corefma.com,(702) 434-8789,http://www.corefma.com/
Gracie Barra Henderson,info@graciebarrahenderson.com,(702) 526-3919,https://graciebarrahenderson.com/
TennisWerx,"tenniswerx@yahoo.com,hi@mystore.com",(702) 250-1634,http://tenniswerx.com/
Team Octopus Jiu Jitsu,info@teamoctopusjiujitsu.com,(702) 326-4647,https://www.teamoctopusjiujitsu.com/
Engage Lifestyle Martial Arts,info@karatenv.com,(702) 518-7727,https://engagelma.com/
Fit 2 Serve Fitness,info@fit2servefitness.com,(702) 701-2774,https://www.fit2servefitness.com/
SinCity CrossFit,crossfit.sincity@gmail.com,(702) 778-3440,http://sincitycrossfit.com/
New Era Fitness and Performance,"astigma@astigmatic.com,filler@godaddy.com",(530) 592-7149,http://www.newerafitnessandperformance.com/
Michelle Adams Personal Training,michelleadamspt@gmail.com,(415) 717-1598,https://www.michelleadamspt.com/
Ignite Dance Center,info@ignitedancecenter.com,(702) 527-5199,http://www.ignitedancecenter.com/
American Wrestling Club,mark@americanwrestlingclub.com,(702) 861-8328,https://americanwrestlingclub.com/
Legacy Martial Arts Henderson,taracox17@gmail.com,(702) 675-0036,https://www.legacymartialartshenderson.com/
Golf Tier System Academy LLC,contact@golftiers.com,(702) 661-8802,https://www.golftiers.com/
Impact Taekwondo,impacttkd.llc@gmail.com,(702) 843-0497,http://www.impacttkdnv.com/
The Studio Mind|Body,info@thestudiobc.com,(702) 505-0895,http://www.thestudiobc.com/
Linder Wellness,michelle@linderwellness.com,(702) 348-9625,http://www.linderwellness.com/
Top Line Defense LLC,toplinedefense@gmail.com,(702) 600-5437,https://www.toplinedefense.net/
Fitness Factory,filler@godaddy.com,(702) 438-3488,https://fitnessfactory.us/
Orangetheory Fitness,studiomanager0223@orangetheoryfitness.com,(702) 850-2511,https://www.orangetheory.com/en-us/locations/nevada/henderson/691-marks-street-suite-d/?utm_medium=seo&utm_source=gg&utm_term=tombras&utm_campaign=reputationdotcom--National
Alley Fitness,eben@eyebytes.com,(702) 350-6704,http://alleyfitness.com/
Fitness Center at Resorts World,privacy@rwlasvegas.com,(702) 676-7000,https://www.rwlasvegas.com/experiences/
Glow Fitness Vegas,info@glowfitness.vegas,(702) 612-6414,https://www.glowfitness.vegas/
F45 Training Las Vegas Arts District,"lasvegasartsdistrict@f45training.com,lasvegasartsdistrict.admin@f45training.com",(725) 227-6627,https://f45training.com/studio/lasvegasartsdistrict/
"Pole Kisses, Bungee and Aerial Fitness",polekisseslv@gmail.com,(702) 399-4841,http://www.polekissesaerialfitness.com/
One Kick's Gym,"impallari@gmail.com,team@latofonts.com,filler@godaddy.com",(702) 384-6786,http://onekickgym.com/
Cascão Jiu Jitsu,contact@cascaojiujitsu.org,(702) 818-7500,https://cascaojiujitsu.org/
Fly Pre4mance,taypayne09@gmail.com,(714) 949-7109,https://fly-pre4mance.ueniweb.com/?utm_campaign=gmb
YogaFit,help@yogafit.com,(888) 786-3111,http://www.yogafit.com/
Altruist Mixed Martial Arts,altruistmma@gmail.com,(805) 478-2129,https://www.altruistmixedmartialarts.com/
Salcianu Elite Academy of Gymnastics,"academyofgymnastics@yahoo.com,salcianueliteacademy@gmail.com",(702) 795-3332,https://www.salcianuelite.org/
Tumbling Boulders,coachjill@protonmail.com,(702) 610-8684,http://www.boulderstumbling.com/
Create Peace Functional Movement Institute,info@createpeacefmi.com,(702) 576-3288,https://www.createpeacefmi.com/
Envy Athletics,info@envyathleticslv.com,(725) 232-1379,https://www.envyathleticslv.com/
Movement Fitness Las Vegas,hello@movementfitnesslv.com,(702) 803-3777,http://movementfitnesslv.com/
Las Vegas Tai Chi,paishrfu@yahoo.com,(702) 431-4683,http://www.lasvegastaichi.com/
Parkdale Recreation & Senior Center,"dawndy@clarkcountynv.gov,ccparks@clarkcountynv.gov,ccmgr@clarkcountynv.gov,bldgserv@clarkcountynv.gov,zoning@clarkcountynv.gov,administrativeservices@clarkcountynv.gov,aocustomerservicerequests@clarkcountynv.gov,cchrinfo@clarkcountynv.gov,elinfo@clarkcountynv.gov,countypurchasing@clarkcountynv.gov",(702) 455-7517,https://www.clarkcountynv.gov/government/departments/parks___recreation/facilities/parkdale.php
Jessica Guevara Pilates,info@jgpilates.com,(702) 767-7842,https://jgpilates.com/
Rhythm Nation LV Dance & Fitness,studio@rnlvdance.com,(702) 331-8871,http://www.rnlvdance.com/
Black Box Gym,"contact@blackboxgym.training,support@blackboxgym.training",(702) 268-7625,https://blackboxgym.training/
Hollywood Recreation Center,"nate34@clarkcountynv.gov,ccparks@clarkcountynv.gov,ccmgr@clarkcountynv.gov,bldgserv@clarkcountynv.gov,zoning@clarkcountynv.gov,administrativeservices@clarkcountynv.gov,aocustomerservicerequests@clarkcountynv.gov,cchrinfo@clarkcountynv.gov,elinfo@clarkcountynv.gov,countypurchasing@clarkcountynv.gov",(702) 455-0566,https://www.clarkcountynv.gov/government/departments/parks___recreation/facilities/hollywood.php
Spartan Wolf Training Center,spartanwolf2018@gmail.com,+1 705-815-8494,https://spartan-wolf-training-center.ueniweb.com/?utm_campaign=gmb
"Robert E. ""Bob"" Price Recreation Center","jlmck@clarkcountynv.gov,ccparks@clarkcountynv.gov,ccmgr@clarkcountynv.gov,bldgserv@clarkcountynv.gov,zoning@clarkcountynv.gov,administrativeservices@clarkcountynv.gov,aocustomerservicerequests@clarkcountynv.gov,cchrinfo@clarkcountynv.gov,elinfo@clarkcountynv.gov,countypurchasing@clarkcountynv.gov",(702) 455-7600,https://www.clarkcountynv.gov/government/departments/parks___recreation/facilities/bobprice.php
FNZO BOOTCAMP,fitnesslorenzo24@gmail.com,(725) 712-8486,https://www.fitnesslorenzo.com/
Assassin Grappling Academy,agalv2021@gmail.com,(702) 604-9647,https://www.assassingrappling.com/
Infinite Grappling,info.infinitygrappling@gmail.com,(425) 407-9255,https://infinite-grappling.gymdesk.com/signup
Be Beyond Great Tumbling Studio,info@bbgtumblingstudio.com,(725) 204-7976,https://www.bbgtumblingstudio.com/
Walnut Community Center,"rdecler@clarkcountynv.gov,ccparks@clarkcountynv.gov,ccmgr@clarkcountynv.gov,bldgserv@clarkcountynv.gov,zoning@clarkcountynv.gov,administrativeservices@clarkcountynv.gov,aocustomerservicerequests@clarkcountynv.gov,cchrinfo@clarkcountynv.gov,elinfo@clarkcountynv.gov,countypurchasing@clarkcountynv.gov",(702) 455-8402,https://www.clarkcountynv.gov/government/departments/parks___recreation/facilities/walnut.php
